wavelength_um,PC1_U,PC2_U,PC3_U,PC4_U,PC5_U,PC6_U,PC7_U,PC8_U,PC9_U
2.99940012,-0.7772471293540152,-0.09014713324836932,0.125873047654651,-0.35214818984338353,-0.7720902119987267,-0.7336324424098356,0.5814634025654503,-0.5915185196293479,0.4745592651949617
3.00030003,-0.778312291097911,-0.08321271254138195,0.11925236355983078,-0.36304173418936836,-0.7830376032831483,-0.7448331479548819,0.5917404042403752,-0.6018719868173606,0.48809202162527293
3.00120048,-0.7816110744775343,-0.07831723473085231,0.11539554890006488,-0.36980412955880987,-0.7936408868812576,-0.7511066190081179,0.595175118845775,-0.6059255780038969,0.4945974980497882
3.002101471,-0.7808558767834928,-0.07910428904122595,0.11587792233920265,-0.3688909593811845,-0.7920022788512028,-0.750143471999944,0.5949012299656029,-0.6055690418535765,0.49351487753536316
3.003003003,-0.7776501873063096,-0.09012340356091267,0.12638149533374174,-0.3511051191513023,-0.7735138644481119,-0.7315773817123968,0.5776635027864857,-0.5883600161955699,0.4745592651949617
3.003905077,-0.7760065715257164,-0.08931067160366135,0.1246432126701853,-0.35467429826448094,-0.7717225679425299,-0.7375560083031311,0.5875086976683467,-0.5967862609494125,0.4784118336922404
3.004807692,-0.7769799312552771,-0.09183320034477059,0.12757656466493733,-0.34930979367505854,-0.7694384973130028,-0.7306497236345258,0.5786381524051154,-0.5884992044824816,0.4713406636655913
3.005710851,-0.7783835955255187,-0.10010248483851171,0.13729139190088893,-0.3323869403968224,-0.7630351150602871,-0.7090568354112928,0.550248829735064,-0.5632656528802453,0.45573532291711955
3.006614552,-0.7778944683123641,-0.09832748060503914,0.13492511116805508,-0.3371440634167497,-0.7630659506841263,-0.716190197171825,0.5609217365525444,-0.5721754163292379,0.4590026911363326
3.007518797,-0.7771504549168657,-0.09457504176946545,0.1306398532887901,-0.34416938598327995,-0.7667201955555084,-0.7245620271528658,0.5710361321265384,-0.5814296172543825,0.4659763277833029
3.008423586,-0.7771579695849686,-0.09654480259204026,0.1318815955095012,-0.34336900466272907,-0.7608238880059133,-0.7265004689693159,0.5778732375145458,-0.5862993871417904,0.46227005935553905
3.00932892,-0.7776819944824521,-0.09740408881174951,0.13374559946669914,-0.33911766274659,-0.7634881156984139,-0.7189508715152517,0.5647993615542601,-0.5756678645836933,0.46124595886892267
3.010234798,-0.778524959824736,-0.08165040973528798,0.11790736734890385,-0.3650984237786147,-0.7852244001814362,-0.7467507649711546,0.5932825713584602,-0.6035636598429102,0.4897549657487789
3.011141223,-0.783122449918665,-0.07702843329761316,0.11436127071524911,-0.37146593474691963,-0.7965605884620804,-0.7523040450182794,0.5954527089270304,-0.6064084542915694,0.4956752418952294
3.012048193,-0.781281999393277,-0.08043460758933696,0.11738588254983744,-0.36629130374037683,-0.7898422955388595,-0.7472453539753513,0.5919254642945457,-0.6025251010867184,0.48976471908674674
3.01295571,-0.77812494504852,-0.08607017224427131,0.1224616679274214,-0.35742285823154785,-0.7792001322411296,-0.7382604939391085,0.5844367007691205,-0.5949661064282528,0.48119153501306
